step,train_d_weight_epoch
841,0.29141467809677124
1683,0.5364475846290588
2525,0.7549229264259338
3367,0.8416897654533386
4209,0.9123591780662537
5051,0.948509156703949
5893,0.966650664806366
6735,0.9963656067848206
7577,1.0290324687957764
8419,0.998823344707489
9261,0.9520193338394165
10103,0.9666763544082642
10945,0.9691184163093567
11787,0.9620625972747803
12629,0.981749951839447
13471,0.963363766670227
14313,0.9682562351226807
15155,0.9704638719558716
15997,0.9793770909309387
16839,0.9745160937309265
17681,0.9682275652885437
18523,0.9665248990058899
19365,0.9675077795982361
20207,0.9745460748672485
21049,0.9704968929290771
21891,0.9640628695487976
22733,0.954544723033905
23575,0.975297749042511
24417,0.9535647630691528
25259,0.9667785167694092
26101,0.9739535450935364
26943,0.9525264501571655
27785,0.9607254862785339
28627,0.9511474370956421
29469,0.9478303790092468
30311,0.9318773746490479
31153,0.9517316222190857
31995,0.9405239820480347
32837,0.9483943581581116
33679,0.9562233686447144
34521,0.9424841403961182
35363,0.9465152025222778
36205,0.9497355818748474
37047,0.9477776885032654
37889,0.9545319080352783
38731,0.9568189382553101
39573,0.9538766145706177
40415,0.9458443522453308
41257,0.9387321472167969
42099,0.9442529082298279
42941,0.9513000845909119
43783,0.9376848936080933
44625,0.9504231214523315
45467,0.9442479610443115
46309,0.9443309307098389
47151,0.9359179735183716
47993,0.9329264163970947
48835,0.9346528649330139
49677,0.9360241293907166
50519,0.9319490194320679
51361,0.9386815428733826
52203,0.9385779500007629
53045,0.937808096408844
53887,0.9357876777648926
54729,0.9379836320877075
55571,0.9399974942207336
56413,0.9408965706825256
57255,0.9474251866340637
58097,0.9245073795318604
58939,0.9253688454627991
59781,0.9381210207939148
60623,0.9283201098442078
61465,0.9346566200256348
62307,0.9230960011482239
63149,0.9344156980514526
63991,0.9350941181182861
64833,0.937305748462677
65675,0.9241224527359009
66517,0.9380404353141785
67359,0.9243206977844238
68201,0.9295544624328613
69043,0.9257338643074036
69885,0.9375997185707092
70727,0.9176424741744995
71569,0.9321262836456299
72411,0.9319506883621216
73253,0.9261636137962341
74095,0.9258952140808105
74937,0.9313503503799438
75779,0.9325271844863892
76621,0.9311912655830383
77463,0.9393537044525146
78305,0.9209240674972534
79147,0.9277389645576477
79989,0.9385374784469604
80831,0.9410487413406372
81673,0.9289935827255249
82515,0.9321961402893066
83357,0.9245994091033936
84199,0.9268102049827576
85041,0.9353043437004089
85883,0.931588888168335
86725,0.9220663905143738
87567,0.9343602657318115
88409,0.9264307618141174
89251,0.9333363175392151
90093,0.9236956238746643
90935,0.9254825711250305
91777,0.9233345985412598
92619,0.9244480729103088
93461,0.9313912391662598
94303,0.9207526445388794
95145,0.918967068195343
95987,0.9279477000236511
96829,0.9262113571166992
97671,0.9284361004829407
98513,0.9158480167388916
99355,0.921920895576477
