step,train_logits_real_epoch
841,-0.30389919877052307
1683,-0.3032231032848358
2525,-0.3030548691749573
3367,-0.3026696443557739
4209,-0.30292123556137085
5051,-0.3027321696281433
5893,-0.30297863483428955
6735,-0.30297160148620605
7577,-0.3030998110771179
8419,-0.3028840124607086
9261,-0.3033296763896942
10103,-0.30308809876441956
10945,-0.30308815836906433
11787,-0.3030652701854706
12629,-0.30292561650276184
13471,-0.3027811646461487
14313,-0.3028336763381958
15155,-0.30300918221473694
15997,-0.3029785752296448
16839,-0.30275365710258484
17681,-0.3030438721179962
18523,-0.30304083228111267
19365,-0.3031616806983948
20207,-0.30309543013572693
21049,-0.30301716923713684
21891,-0.3028808832168579
22733,-0.3030529022216797
23575,-0.3032195568084717
24417,-0.30293333530426025
25259,-0.3030259311199188
26101,-0.30298537015914917
26943,-0.3029082715511322
27785,-0.30286067724227905
28627,-0.3027716875076294
29469,-0.30313098430633545
30311,-0.30298662185668945
31153,-0.3027864098548889
31995,-0.30301862955093384
32837,-0.30303874611854553
33679,-0.30289870500564575
34521,-0.3031224310398102
35363,-0.3026508390903473
36205,-0.30321282148361206
37047,-0.30311089754104614
37889,-0.3028927445411682
38731,-0.30316558480262756
39573,-0.302964448928833
40415,-0.30272984504699707
41257,-0.30283522605895996
42099,-0.30286452174186707
42941,-0.3030180037021637
43783,-0.30296310782432556
44625,-0.303038090467453
45467,-0.30324363708496094
46309,-0.3030022382736206
47151,-0.30305323004722595
47993,-0.3029952049255371
48835,-0.30302050709724426
49677,-0.3027077317237854
50519,-0.3029337525367737
51361,-0.3028899133205414
52203,-0.3029199540615082
53045,-0.3029271364212036
53887,-0.302735298871994
54729,-0.3029501438140869
55571,-0.30292263627052307
56413,-0.30297333002090454
57255,-0.3029313385486603
58097,-0.302935391664505
58939,-0.3030434250831604
59781,-0.3031177818775177
60623,-0.30266955494880676
61465,-0.3031288981437683
62307,-0.3031476140022278
63149,-0.3029739260673523
63991,-0.3029334545135498
64833,-0.30282050371170044
65675,-0.30300474166870117
66517,-0.30296289920806885
67359,-0.3029406666755676
68201,-0.3030087947845459
69043,-0.30312371253967285
69885,-0.3027912378311157
70727,-0.30306169390678406
71569,-0.3029404580593109
72411,-0.3029273748397827
73253,-0.3030189871788025
74095,-0.30293408036231995
74937,-0.30300864577293396
75779,-0.30324697494506836
76621,-0.30269989371299744
77463,-0.30297258496284485
78305,-0.3030938506126404
79147,-0.30311259627342224
79989,-0.3030933439731598
80831,-0.302939236164093
81673,-0.30291905999183655
82515,-0.30287036299705505
83357,-0.30310940742492676
84199,-0.3027951717376709
85041,-0.3027527630329132
85883,-0.30285754799842834
86725,-0.3028644323348999
87567,-0.302936315536499
88409,-0.30297306180000305
89251,-0.3029266595840454
90093,-0.3028886020183563
90935,-0.30294185876846313
91777,-0.30283594131469727
92619,-0.3027089834213257
93461,-0.3028568923473358
94303,-0.30310413241386414
95145,-0.30266237258911133
95987,-0.3032523989677429
96829,-0.30279219150543213
97671,-0.3028278946876526
98513,-0.3029646873474121
99355,-0.303426057100296
