step,train_quant_loss_epoch
841,2.8506438732147217
1683,0.13411664962768555
2525,0.04020599648356438
3367,0.02014581300318241
4209,0.012883659452199936
5051,0.009201017208397388
5893,0.006867460906505585
6735,0.005428144708275795
7577,0.004468095488846302
8419,0.004238730296492577
9261,0.004403842147439718
10103,0.004455956630408764
10945,0.00447079399600625
11787,0.004378682933747768
12629,0.0042533185333013535
13471,0.00416823523119092
14313,0.004089366644620895
15155,0.004016389604657888
15997,0.003953974694013596
16839,0.0038859290070831776
17681,0.003828594693914056
18523,0.0037684645503759384
19365,0.0037092987913638353
20207,0.003665123600512743
21049,0.0036105194594711065
21891,0.0035618385300040245
22733,0.0035110122989863157
23575,0.003464106936007738
24417,0.0034358343109488487
25259,0.0034023390617221594
26101,0.003373597050085664
26943,0.0033424340654164553
27785,0.003310767700895667
28627,0.0032908362336456776
29469,0.003268281929194927
30311,0.003252549795433879
31153,0.003231101669371128
31995,0.0032119674142450094
32837,0.0031917672604322433
33679,0.003172451164573431
34521,0.0031482884660363197
35363,0.003132310463115573
36205,0.0031112199649214745
37047,0.0030979576986283064
37889,0.0030773489270359278
38731,0.0030560027807950974
39573,0.0030355060007423162
40415,0.0030202881898730993
41257,0.0030012670904397964
42099,0.0029797833412885666
42941,0.002962723607197404
43783,0.0029432466253638268
44625,0.0029247053898870945
45467,0.0029118992388248444
46309,0.002892803866416216
47151,0.002876198384910822
47993,0.0028679887764155865
48835,0.0028561120852828026
49677,0.0028389340732246637
50519,0.00281826825812459
51361,0.0028065815567970276
52203,0.002797583816573024
53045,0.002778009744361043
53887,0.002767442725598812
54729,0.0027508381754159927
55571,0.0027325034607201815
56413,0.002718942938372493
57255,0.0027138085570186377
58097,0.0026972962077707052
58939,0.002686903113499284
59781,0.0026719169691205025
60623,0.0026589641347527504
61465,0.002644878113642335
62307,0.002637960948050022
63149,0.0026268528308719397
63991,0.0026092396583408117
64833,0.0025999252684414387
65675,0.0025914059951901436
66517,0.002582896500825882
67359,0.002569793490692973
68201,0.0025565798860043287
69043,0.002545483410358429
69885,0.002533975290134549
70727,0.002526809461414814
71569,0.002515509258955717
72411,0.0025002637412399054
73253,0.002499260241165757
74095,0.0024876564275473356
74937,0.0024758540093898773
75779,0.002469215542078018
76621,0.002456457819789648
77463,0.0024463662412017584
78305,0.0024377545341849327
79147,0.0024290583096444607
79989,0.002418888732790947
80831,0.0024131203535944223
81673,0.002402373356744647
82515,0.0023917946964502335
83357,0.002383033512160182
84199,0.002379137556999922
85041,0.002368375426158309
85883,0.002359732985496521
86725,0.0023599055130034685
87567,0.002347612055018544
88409,0.0023423118982464075
89251,0.0023333351127803326
90093,0.002328178845345974
90935,0.0023312168195843697
91777,0.002324832370504737
92619,0.0023187422193586826
93461,0.0023188188206404448
94303,0.0023147924803197384
95145,0.002308695809915662
95987,0.0023039851803332567
96829,0.0023114136420190334
97671,0.00231015938334167
98513,0.002307459246367216
99355,0.0023078203666955233
