step,train_rec_loss_epoch
841,0.17820051312446594
1683,0.11258856952190399
2525,0.08936621248722076
3367,0.0777154490351677
4209,0.07162865251302719
5051,0.06777189671993256
5893,0.06501594930887222
6735,0.06295649707317352
7577,0.061325859278440475
8419,0.05898379534482956
9261,0.055069245398044586
10103,0.05133983865380287
10945,0.04841938242316246
11787,0.04644882306456566
12629,0.044946059584617615
13471,0.04375997185707092
14313,0.04280301555991173
15155,0.04194149374961853
15997,0.04125964269042015
16839,0.040555715560913086
17681,0.03993341326713562
18523,0.039388760924339294
19365,0.03885601833462715
20207,0.038409583270549774
21049,0.03793291002511978
21891,0.03750044107437134
22733,0.0370657816529274
23575,0.03668932616710663
24417,0.03637880086898804
25259,0.03595900535583496
26101,0.03563113138079643
26943,0.03532005846500397
27785,0.03499826788902283
28627,0.03465261682868004
29469,0.03435111418366432
30311,0.034063320606946945
31153,0.03377896174788475
31995,0.033517640084028244
32837,0.03326766565442085
33679,0.033013563603162766
34521,0.03278736025094986
35363,0.032554976642131805
36205,0.03233734890818596
37047,0.03212370723485947
37889,0.03192662447690964
38731,0.03170667961239815
39573,0.031563736498355865
40415,0.03132728114724159
41257,0.031160976737737656
42099,0.03096572495996952
42941,0.030806297436356544
43783,0.030626486986875534
44625,0.030475826933979988
45467,0.030309125781059265
46309,0.030212847515940666
47151,0.02999555692076683
47993,0.029836609959602356
48835,0.02971683442592621
49677,0.02955217845737934
50519,0.02941569685935974
51361,0.029267076402902603
52203,0.02913583442568779
53045,0.029029076918959618
53887,0.02888374775648117
54729,0.02876492589712143
55571,0.028640171512961388
56413,0.02850756049156189
57255,0.0284055657684803
58097,0.028305815532803535
58939,0.028173265978693962
59781,0.028055740520358086
60623,0.027956634759902954
61465,0.02785359136760235
62307,0.027744753286242485
63149,0.027632223442196846
63991,0.027532709762454033
64833,0.027421392500400543
65675,0.027349894866347313
66517,0.02724217250943184
67359,0.027157053351402283
68201,0.02705579623579979
69043,0.02697041444480419
69885,0.02686867117881775
70727,0.026785578578710556
71569,0.026712577790021896
72411,0.02661021798849106
73253,0.026504183188080788
74095,0.026456326246261597
74937,0.026355646550655365
75779,0.026277611032128334
76621,0.02621036022901535
77463,0.02613968774676323
78305,0.02603612095117569
79147,0.025985069572925568
79989,0.025905320420861244
80831,0.025826772674918175
81673,0.025763867422938347
82515,0.025688204914331436
83357,0.02561154216527939
84199,0.025570247322320938
85041,0.025486869737505913
85883,0.02541528083384037
86725,0.025363324210047722
87567,0.0252813883125782
88409,0.025216825306415558
89251,0.025146767497062683
90093,0.02507597766816616
90935,0.025021446868777275
91777,0.02494550310075283
92619,0.024887530133128166
93461,0.024831034243106842
94303,0.02474026195704937
95145,0.024673283100128174
95987,0.02461037039756775
96829,0.024543143808841705
97671,0.02445770613849163
98513,0.024410223588347435
99355,0.024334674701094627
