step,train_total_loss_epoch
841,3.02890944480896
1683,0.24670527875423431
2525,0.12957234680652618
3367,0.09786117076873779
4209,0.08451236039400101
5051,0.07697295397520065
5893,0.07188348472118378
6735,0.0683845579624176
7577,0.0657939463853836
8419,0.0632224753499031
9261,0.05947311222553253
10103,0.05579587072134018
10945,0.05289016291499138
11787,0.05082752928137779
12629,0.049199387431144714
13471,0.04792824760079384
14313,0.046892374753952026
15155,0.045957863330841064
15997,0.04521363601088524
16839,0.044441647827625275
17681,0.04376204311847687
18523,0.043157242238521576
19365,0.04256536066532135
20207,0.04207475110888481
21049,0.041543398052453995
21891,0.04106225073337555
22733,0.04057682305574417
23575,0.040153417736291885
24417,0.03981461748480797
25259,0.03936132788658142
26101,0.03900475427508354
26943,0.038662560284137726
27785,0.03830898925662041
28627,0.03794342651963234
29469,0.03761940822005272
30311,0.03731586039066315
31153,0.03701005503535271
31995,0.036729585379362106
32837,0.03645944222807884
33679,0.03618605434894562
34521,0.0359356552362442
35363,0.03568727895617485
36205,0.0354485884308815
37047,0.03522168844938278
37889,0.03500397130846977
38731,0.0347626693546772
39573,0.03459922969341278
40415,0.03434759005904198
41257,0.0341622568666935
42099,0.03394554555416107
42941,0.03376905620098114
43783,0.033569712191820145
44625,0.03340055048465729
45467,0.03322101756930351
46309,0.033105622977018356
47151,0.032871730625629425
47993,0.03270459547638893
48835,0.03257288783788681
49677,0.03239114582538605
50519,0.03223397582769394
51361,0.03207368776202202
52203,0.031933434307575226
53045,0.03180713579058647
53887,0.03165123611688614
54729,0.03151576966047287
55571,0.03137265890836716
56413,0.03122650645673275
57255,0.031119368970394135
58097,0.031003102660179138
58939,0.03086015023291111
59781,0.03072766214609146
60623,0.030615562573075294
61465,0.030498428270220757
62307,0.030382702127099037
63149,0.03025910072028637
63991,0.03014197200536728
64833,0.03002133220434189
65675,0.029941320419311523
66517,0.029825080186128616
67359,0.02972685918211937
68201,0.029612362384796143
69043,0.029515912756323814
69885,0.02940267324447632
70727,0.02931239828467369
71569,0.02922811731696129
72411,0.029110463336110115
73253,0.02900349162518978
74095,0.028944002464413643
74937,0.028831522911787033
75779,0.028746824711561203
76621,0.02866683341562748
77463,0.02858605794608593
78305,0.028473839163780212
79147,0.028414146974682808
79989,0.028324175626039505
80831,0.02823985181748867
81673,0.02816624939441681
82515,0.028080010786652565
83357,0.027994539588689804
84199,0.027949439361691475
85041,0.027855267748236656
85883,0.027775011956691742
86725,0.027723200619220734
87567,0.027628973126411438
88409,0.027559125795960426
89251,0.02748008444905281
90093,0.027404149994254112
90935,0.027352692559361458
91777,0.027270300313830376
92619,0.027206268161535263
93461,0.027149837464094162
94303,0.02705504186451435
95145,0.02698199264705181
95987,0.02691437490284443
96829,0.026854537427425385
97671,0.026767846196889877
98513,0.02671767584979534
99355,0.02664249576628208
